case_id	page	label	x	y	z	formed_block	template	facing	mirrored	expected
p3-arc-furnace-east-control	3	arc furnace, east-facing orientation control	344	100	352	immersiveengineering:arc_furnace	immersiveengineering:multiblocks/arcfurnace	east	false	formed-visible
p4-silo-north	4	silo, north-facing normal	160	100	416	immersiveengineering:silo	immersiveengineering:multiblocks/silo	north	false	formed-visible
p4-shelf-north	4	shelf, north-facing normal	224	100	416	immersiveengineering:shelf	immersiveengineering:multiblocks/shelf	north	false	formed-visible
p4-tank-north	4	tank, north-facing normal	160	100	448	immersiveengineering:tank	immersiveengineering:multiblocks/sheetmetal_tank	north	false	formed-visible
p4-tank-east-control	4	tank, east-facing orientation control	180	100	448	immersiveengineering:tank	immersiveengineering:multiblocks/sheetmetal_tank	east	false	formed-visible
p4-chunk-loader-north	4	chunk loader, north-facing normal	224	100	448	immersiveengineering:chunk_loader	immersiveengineering:multiblocks/chunk_loader	north	false	formed-visible
p4-chunk-loader-north-mirrored	4	chunk loader, north-facing mirrored	244	100	448	immersiveengineering:chunk_loader	immersiveengineering:multiblocks/chunk_loader	north	true	formed-visible
p4-chunk-loader-east-control	4	chunk loader, east-facing orientation control	264	100	448	immersiveengineering:chunk_loader	immersiveengineering:multiblocks/chunk_loader	east	false	formed-visible
p5-lightning-rod-north	5	lightning rod, north-facing normal	160	100	544	immersiveengineering:lightning_rod	immersiveengineering:multiblocks/lightning_rod	north	false	formed-visible
p5-bucket-wheel-north	5	bucket wheel, north-facing normal	280	100	544	immersiveengineering:bucket_wheel	immersiveengineering:multiblocks/bucket_wheel	north	false	formed-visible
p5-bucket-wheel-east-control	5	bucket wheel, east-facing orientation control	312	100	544	immersiveengineering:bucket_wheel	immersiveengineering:multiblocks/bucket_wheel	east	false	formed-visible
p5-excavator-north	5	excavator, north-facing normal	160	100	664	immersiveengineering:excavator	immersiveengineering:multiblocks/excavator	north	false	formed-visible
p5-excavator-north-mirrored	5	excavator, north-facing mirrored	192	100	664	immersiveengineering:excavator	immersiveengineering:multiblocks/excavator	north	true	formed-visible
p5-excavator-east-control	5	excavator, east-facing orientation control	224	100	664	immersiveengineering:excavator	immersiveengineering:multiblocks/excavator	east	false	formed-visible
p5-radio-tower-north	5	radio tower, north-facing normal	280	100	664	immersiveengineering:radio_tower	immersiveengineering:multiblocks/radio_tower	north	false	formed-visible
p5-radio-tower-north-mirrored	5	radio tower, north-facing mirrored	312	100	664	immersiveengineering:radio_tower	immersiveengineering:multiblocks/radio_tower	north	true	formed-visible
p5-radio-tower-east-control	5	radio tower, east-facing orientation control	344	100	664	immersiveengineering:radio_tower	immersiveengineering:multiblocks/radio_tower	east	false	formed-visible
